image,num_detections,mean_entropy,min_confidence,uncertainty_score
00600.jpg,0,1.0,0.0,1.0
00601.jpg,0,1.0,0.0,1.0
00603.jpg,0,1.0,0.0,1.0
00614.jpg,0,1.0,0.0,1.0
00617.jpg,0,1.0,0.0,1.0
00618.jpg,0,1.0,0.0,1.0
00623.jpg,0,1.0,0.0,1.0
00627.jpg,0,1.0,0.0,1.0
00628.jpg,0,1.0,0.0,1.0
00629.jpg,0,1.0,0.0,1.0
00630.jpg,0,1.0,0.0,1.0
00636.jpg,0,1.0,0.0,1.0
00640.jpg,0,1.0,0.0,1.0
00641.jpg,0,1.0,0.0,1.0
00643.jpg,0,1.0,0.0,1.0
00645.jpg,0,1.0,0.0,1.0
00652.jpg,0,1.0,0.0,1.0
00655.jpg,0,1.0,0.0,1.0
00663.jpg,0,1.0,0.0,1.0
00666.jpg,0,1.0,0.0,1.0
00668.jpg,0,1.0,0.0,1.0
00672.jpg,0,1.0,0.0,1.0
00676.jpg,0,1.0,0.0,1.0
00677.jpg,0,1.0,0.0,1.0
00684.jpg,0,1.0,0.0,1.0
00687.jpg,0,1.0,0.0,1.0
00694.jpg,0,1.0,0.0,1.0
00696.jpg,0,1.0,0.0,1.0
00706.jpg,0,1.0,0.0,1.0
00707.jpg,0,1.0,0.0,1.0
00708.jpg,0,1.0,0.0,1.0
00709.jpg,0,1.0,0.0,1.0
00711.jpg,0,1.0,0.0,1.0
00713.jpg,0,1.0,0.0,1.0
00715.jpg,1,1.0,0.5012,1.0
00718.jpg,0,1.0,0.0,1.0
00721.jpg,0,1.0,0.0,1.0
00726.jpg,0,1.0,0.0,1.0
00727.jpg,0,1.0,0.0,1.0
00731.jpg,0,1.0,0.0,1.0
00735.jpg,0,1.0,0.0,1.0
00736.jpg,0,1.0,0.0,1.0
00737.jpg,0,1.0,0.0,1.0
00739.jpg,0,1.0,0.0,1.0
00743.jpg,0,1.0,0.0,1.0
00745.jpg,0,1.0,0.0,1.0
00748.jpg,0,1.0,0.0,1.0
00750.jpg,0,1.0,0.0,1.0
00751.jpg,0,1.0,0.0,1.0
00753.jpg,0,1.0,0.0,1.0
00757.jpg,0,1.0,0.0,1.0
00759.jpg,0,1.0,0.0,1.0
00763.jpg,0,1.0,0.0,1.0
00767.jpg,0,1.0,0.0,1.0
00768.jpg,0,1.0,0.0,1.0
00769.jpg,0,1.0,0.0,1.0
00772.jpg,0,1.0,0.0,1.0
00781.jpg,0,1.0,0.0,1.0
00786.jpg,0,1.0,0.0,1.0
00790.jpg,0,1.0,0.0,1.0
00792.jpg,0,1.0,0.0,1.0
00793.jpg,0,1.0,0.0,1.0
00797.jpg,0,1.0,0.0,1.0
00799.jpg,0,1.0,0.0,1.0
00800.jpg,0,1.0,0.0,1.0
00804.jpg,0,1.0,0.0,1.0
00814.jpg,0,1.0,0.0,1.0
00815.jpg,0,1.0,0.0,1.0
00819.jpg,0,1.0,0.0,1.0
00826.jpg,0,1.0,0.0,1.0
00830.jpg,0,1.0,0.0,1.0
00832.jpg,0,1.0,0.0,1.0
00835.jpg,0,1.0,0.0,1.0
00836.jpg,0,1.0,0.0,1.0
00840.jpg,0,1.0,0.0,1.0
00843.jpg,0,1.0,0.0,1.0
00847.jpg,0,1.0,0.0,1.0
00856.jpg,0,1.0,0.0,1.0
00858.jpg,0,1.0,0.0,1.0
00861.jpg,0,1.0,0.0,1.0
00868.jpg,0,1.0,0.0,1.0
00869.jpg,0,1.0,0.0,1.0
00870.jpg,0,1.0,0.0,1.0
00873.jpg,0,1.0,0.0,1.0
00875.jpg,0,1.0,0.0,1.0
00877.jpg,0,1.0,0.0,1.0
00878.jpg,0,1.0,0.0,1.0
00879.jpg,0,1.0,0.0,1.0
00880.jpg,0,1.0,0.0,1.0
00883.jpg,0,1.0,0.0,1.0
00890.jpg,0,1.0,0.0,1.0
00892.jpg,0,1.0,0.0,1.0
00829.jpg,1,0.9998,0.4914,0.9998
