image,num_gt,num_pred,false_positives,false_negatives,low_confidence_correct
00008.jpg,1,2,1,0,1
00012.jpg,1,1,0,0,0
00014.jpg,1,0,0,1,0
00015.jpg,1,1,0,0,0
00021.jpg,1,2,1,0,0
00022.jpg,1,1,0,0,0
00059.jpg,1,1,0,0,1
00066.jpg,1,1,0,0,0
00074.jpg,1,1,1,1,0
00075.jpg,1,1,0,0,0
00083.jpg,1,0,0,1,0
00088.jpg,1,1,1,1,0
00092.jpg,1,1,1,1,0
00096.jpg,1,0,0,1,0
00100.jpg,1,2,1,0,0
00106.jpg,1,1,0,0,0
00116.jpg,1,1,1,1,0
00118.jpg,1,2,1,0,0
00119.jpg,1,4,3,0,0
00130.jpg,1,1,1,1,0
00132.jpg,1,1,0,0,1
00138.jpg,1,2,2,1,0
00140.jpg,1,1,0,0,0
00145.jpg,0,0,0,0,0
00147.jpg,1,1,0,0,0
00168.jpg,1,1,0,0,1
00171.jpg,1,1,0,0,0
00172.jpg,1,0,0,1,0
00179.jpg,1,1,0,0,0
00182.jpg,1,1,1,1,0
00186.jpg,1,1,1,1,0
00188.jpg,1,1,0,0,1
00192.jpg,1,2,1,0,0
00198.jpg,1,1,0,0,0
00200.jpg,1,1,1,1,0
00201.jpg,1,1,0,0,0
00207.jpg,1,1,0,0,1
00212.jpg,1,2,1,0,0
00218.jpg,1,1,0,0,1
00230.jpg,1,1,1,1,0
00235.jpg,0,4,4,0,0
00240.jpg,1,0,0,1,0
00241.jpg,1,1,0,0,0
00251.jpg,1,1,0,0,0
00253.jpg,1,1,0,0,0
00254.jpg,1,1,1,1,0
00265.jpg,1,1,0,0,0
00278.jpg,1,0,0,1,0
00279.jpg,1,1,0,0,0
00293.jpg,1,2,1,0,0
00294.jpg,1,2,1,0,0
00297.jpg,1,1,1,1,0
00303.jpg,1,1,0,0,1
00304.jpg,1,1,0,0,0
00307.jpg,1,1,0,0,0
00312.jpg,1,1,1,1,0
00314.jpg,1,1,1,1,0
00315.jpg,1,2,1,0,1
00316.jpg,1,2,1,0,0
00319.jpg,1,1,0,0,0
00324.jpg,0,0,0,0,0
00325.jpg,0,0,0,0,0
00329.jpg,0,1,1,0,0
00335.jpg,0,0,0,0,0
00339.jpg,1,0,0,1,0
00340.jpg,1,0,0,1,0
00345.jpg,0,0,0,0,0
00346.jpg,1,2,1,0,0
00371.jpg,1,1,0,0,0
00376.jpg,1,1,1,1,0
00378.jpg,1,2,1,0,0
00383.jpg,1,1,0,0,0
00394.jpg,0,0,0,0,0
00396.jpg,1,2,1,0,0
00409.jpg,0,1,1,0,0
00412.jpg,1,1,0,0,1
00417.jpg,1,1,0,0,0
00419.jpg,1,1,0,0,0
00420.jpg,1,1,1,1,0
00423.jpg,1,2,1,0,0
00424.jpg,0,1,1,0,0
00425.jpg,1,3,2,0,0
00428.jpg,1,1,1,1,0
00433.jpg,1,1,0,0,0
00435.jpg,1,0,0,1,0
00436.jpg,1,0,0,1,0
00439.jpg,1,2,1,0,0
00444.jpg,1,1,1,1,0
00451.jpg,1,1,1,1,0
00452.jpg,1,0,0,1,0
00460.jpg,1,1,0,0,0
00462.jpg,0,0,0,0,0
00465.jpg,1,1,0,0,1
00476.jpg,1,2,1,0,0
00479.jpg,1,1,1,1,0
00480.jpg,1,1,0,0,0
00481.jpg,1,1,0,0,0
00487.jpg,1,1,0,0,0
00492.jpg,1,1,1,1,0
00494.jpg,1,1,0,0,0
00495.jpg,0,0,0,0,0
00504.jpg,1,1,0,0,0
00514.jpg,1,1,1,1,0
00531.jpg,1,1,0,0,1
00535.jpg,0,0,0,0,0
00536.jpg,1,1,1,1,0
00540.jpg,0,0,0,0,0
00545.jpg,1,2,2,1,0
00548.jpg,1,1,1,1,0
00552.jpg,1,3,2,0,0
00554.jpg,1,0,0,1,0
00556.jpg,1,1,0,0,0
00560.jpg,1,1,0,0,0
00563.jpg,0,0,0,0,0
00564.jpg,1,0,0,1,0
00579.jpg,0,0,0,0,0
00581.jpg,0,0,0,0,0
00586.jpg,0,0,0,0,0
00595.jpg,0,0,0,0,0
00599.jpg,1,1,0,0,1
